Team_i,Team_j,home_i,home_j,score_i,score_j,date,
spain,israel,1,0,2,0,7 June 2018,
finland,austria,1,0,0,2,8 June 2018,
serbia,finland,1,0,0,2,12 June 2018,
israel,austria,1,0,0,6,12 June 2018,
spain,finland,1,0,5,1,31 August 2018,
austria,finland,1,0,4,1,4 September 2018,
spain,serbia,1,0,3,0,4 September 2018,
sweden,south africa,0,0,1,0,3-Aug-16,
brazil,china,1,0,3,0,3-Aug-16,
united states,new zealand,0,0,2,0,3-Aug-16,
canada,australia,0,0,2,0,3-Aug-16,
zimbabwe,germany,0,0,1,6,3-Aug-16,
france,colombia,0,0,4,0,3-Aug-16,
canada,zimbabwe,0,0,3,1,6-Aug-16,
germany,australia,0,0,2,2,6-Aug-16,
colombia,new zealand,0,0,0,1,6-Aug-16,
united states,france,0,0,1,0,6-Aug-16,
south africa,china,0,0,0,2,6-Aug-16,
brazil,sweden,1,0,5,1,6-Aug-16,
australia,zimbabwe,0,0,6,1,9-Aug-16,
new zealand,france,0,0,0,3,9-Aug-16,
south africa,brazil,0,1,0,0,9-Aug-16,
germany,canada,0,0,1,2,9-Aug-16,
colombia,united states,0,0,2,2,9-Aug-16,
china,sweden,0,0,0,0,9-Aug-16,
united states,sweden,0,0,1,1,12-Aug-16,
canada,france,0,0,1,0,12-Aug-16,
china,germany,0,0,0,1,12-Aug-16,
brazil,australia,1,0,0,0,12-Aug-16,
brazil,sweden,1,0,0,0,16-Aug-16,
canada,germany,0,0,0,2,16-Aug-16,
brazil,canada,1,0,1,2,19-Aug-16,
sweden,germany,0,0,1,2,19-Aug-16,
england,brazil,0,0,2,1,2-Feb-19,
united states,japan,1,0,2,2,2-Feb-19,
brazil,japan,0,0,1,3,2-Mar-19,
united states,england,1,0,2,2,2-Mar-19,
japan,england,0,0,0,3,5-Mar-19,
united states,brazil,1,0,1,0,5-Mar-19,
england,france,0,0,4,1,1-Mar-18,
united states,germany,1,0,1,0,1-Mar-18,
united states,france,1,0,1,1,4-Mar-18,
germany,england,0,0,2,2,4-Mar-18,
france,germany,0,0,3,0,7-Mar-18,
united states,england,1,0,1,0,7-Mar-18,
england,france,0,0,1,2,1-Mar-17,
united states,germany,1,0,1,0,1-Mar-17,
france,germany,0,0,0,0,4-Mar-17,
united states,england,1,0,0,1,4-Mar-17,
