,ingredient,title
232,sal,Feijoada
233,oleo,Picadinho de carne ao vinho
234,alho,Picadinho de carne ao vinho
235,cebola,Picadinho de carne ao vinho
236,carne,Picadinho de carne ao vinho
237,louro,Picadinho de carne ao vinho
238,sal,Picadinho de carne ao vinho
239,tomate,Picadinho de carne ao vinho
240,carne,Picadinho de carne ao vinho
241,vinho,Picadinho de carne ao vinho
242,cebola,Picadinho de carne ao vinho
243,pimentao,Picadinho de carne ao vinho
244,mignon,Filé mignon ao molho de mostarda com risoto de alho-poró
245,alho,Filé mignon ao molho de mostarda com risoto de alho-poró
246,mostarda,Filé mignon ao molho de mostarda com risoto de alho-poró
247,sal,Filé mignon ao molho de mostarda com risoto de alho-poró
248,legume,Filé mignon ao molho de mostarda com risoto de alho-poró
249,azeite,Filé mignon ao molho de mostarda com risoto de alho-poró
250,manteiga,Filé mignon ao molho de mostarda com risoto de alho-poró
251,leite,Filé mignon ao molho de mostarda com risoto de alho-poró
252,arroz,Filé mignon ao molho de mostarda com risoto de alho-poró
253,branco,Filé mignon ao molho de mostarda com risoto de alho-poró
254,legume,Filé mignon ao molho de mostarda com risoto de alho-poró
255,leite,Filé mignon ao molho de mostarda com risoto de alho-poró
256,alho,Filé mignon ao molho de mostarda com risoto de alho-poró
257,alho,Filé mignon ao molho de mostarda com risoto de alho-poró
258,alho,Filé mignon ao molho de mostarda com risoto de alho-poró
259,carne,Chili mexicano com vinagrete de coentro
260,preto,Chili mexicano com vinagrete de coentro
261,pomarola,Chili mexicano com vinagrete de coentro
262,pimentao,Chili mexicano com vinagrete de coentro
263,pimenta,Chili mexicano com vinagrete de coentro
264,cebola,Chili mexicano com vinagrete de coentro
265,alho,Chili mexicano com vinagrete de coentro
266,sal,Chili mexicano com vinagrete de coentro
267,parmesao,Chili mexicano com vinagrete de coentro
268,dorito,Chili mexicano com vinagrete de coentro
269,tomate,Chili mexicano com vinagrete de coentro
270,cebola,Chili mexicano com vinagrete de coentro
271,pimentao,Chili mexicano com vinagrete de coentro
272,coentro,Chili mexicano com vinagrete de coentro
273,sal,Chili mexicano com vinagrete de coentro
274,lentilha,Arroz com lentilha e calabresa
275,arroz,Arroz com lentilha e calabresa
276,azeite,Arroz com lentilha e calabresa
277,cebola,Arroz com lentilha e calabresa
278,carne,Arroz com lentilha e calabresa
279,quente,Arroz com lentilha e calabresa
280,linguica,Arroz com lentilha e calabresa
281,pimenta,Arroz com lentilha e calabresa
282,feijao,Feijão tropeiro
283,oleo,Feijão tropeiro
284,cebola,Feijão tropeiro
285,alho,Feijão tropeiro
286,ovo,Feijão tropeiro
287,sal,Feijão tropeiro
288,cheiro,Feijão tropeiro
289,mandioca,Feijão tropeiro
290,margarina,Chester desossado com farofa de frutas secas
291,branco,Chester desossado com farofa de frutas secas
292,suco,Chester desossado com farofa de frutas secas
293,seca,Chester desossado com farofa de frutas secas
294,bacon,Chester desossado com farofa de frutas secas
295,margarina,Chester desossado com farofa de frutas secas
296,amanhecido,Chester desossado com farofa de frutas secas
297,maca,Chester desossado com farofa de frutas secas
298,seco,Chester desossado com farofa de frutas secas
299,sal,Chester desossado com farofa de frutas secas
300,margarina,Pudim Surpresa da Andreinha
301,ovo,Pudim Surpresa da Andreinha
302,acucar,Pudim Surpresa da Andreinha
303,leite,Pudim Surpresa da Andreinha
304,trigo,Pudim Surpresa da Andreinha
305,fermento,Pudim Surpresa da Andreinha
306,leite,Pudim Surpresa da Andreinha
307,leite,Pudim Surpresa da Andreinha
308,trigo,Pastel de carne
309,margarina,Pastel de carne
310,sal,Pastel de carne
311,carne,Pastel de carne
312,sal,Pastel de carne
313,pimenta,Pastel de carne
314,alho,Pastel de carne
315,pimentao,Pastel de carne
316,cebola,Pastel de carne
317,oleo,Pastel de carne
318,ovo,Cachorro quente ao forno
319,leite,Cachorro quente ao forno
320,oleo,Cachorro quente ao forno
321,sal,Cachorro quente ao forno
322,farinha,Cachorro quente ao forno
323,milho,Cachorro quente ao forno
324,fermento,Cachorro quente ao forno
325,margarina,Cachorro quente ao forno
326,azeite,Cachorro quente ao forno
327,cebola,Cachorro quente ao forno
328,alho,Cachorro quente ao forno
329,tomate,Cachorro quente ao forno
330,tomate,Cachorro quente ao forno
331,mostarda,Cachorro quente ao forno
332,ketchup,Cachorro quente ao forno
333,carne,Cachorro quente ao forno
334,salsinha,Cachorro quente ao forno
335,farinha,Cachorro quente ao forno
336,parmesao,Cachorro quente ao forno
337,contra,Bife acebolado especial com Hellmanns
338,alho,Bife acebolado especial com Hellmanns
339,cebola,Bife acebolado especial com Hellmanns
340,maionese,Bife acebolado especial com Hellmanns
341,sal,Bife acebolado especial com Hellmanns
342,frango,Bife de frango acebolado especial
343,cebola,Bife de frango acebolado especial
344,margarina,Bife de frango acebolado especial
345,sal,Bife de frango acebolado especial
346,oregano,Bife de frango acebolado especial
347,maionese,Bife de frango acebolado especial
348,sal,Torresmo sequinho sem estouro
349,trigo,Torresmo sequinho sem estouro
350,limao,Torresmo sequinho sem estouro
351,oleo,Torresmo sequinho sem estouro
352,batata,Bolinho de bacalhau
353,trigo,Bolinho de bacalhau
354,sal,Bolinho de bacalhau
355,ovo,Bolinho de bacalhau
356,oleo,Bolinho de bacalhau
357,costelinha,Arroz com costelinha de porco
358,arroz,Arroz com costelinha de porco
359,sal,Arroz com costelinha de porco
360,oleo,Arroz com costelinha de porco
361,alho,Arroz com costelinha de porco
362,cebola,Arroz com costelinha de porco
363,acafrao,Arroz com costelinha de porco
364,ervilha,Arroz com costelinha de porco
365,ovo,Arroz com costelinha de porco
366,salsinha,Arroz com costelinha de porco
367,azeite,Arroz com costelinha de porco
368,frango,Filé de frango à milanesa
369,alho,Filé de frango à milanesa
370,frango,Filé de frango à milanesa
371,suco,Filé de frango à milanesa
372,sal,Filé de frango à milanesa
373,ovo,Filé de frango à milanesa
374,farinha,Filé de frango à milanesa
375,mignon,Filé à parmegiana
376,trigo,Filé à parmegiana
