address,living_area,plot_size,price,rooms,url
Bert Haanstrahof 28 1087 DL Amsterdam,98,,"€ 410,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40000501-bert-haanstrahof-28/?navigateSource=resultlist
Spadinalaan 5 1031 KB Amsterdam,148,,"€ 750,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40000487-spadinalaan-5/?navigateSource=resultlist
Kanaalstraat 127 II 1054 XD Amsterdam,47,,"€ 350,000 k.k.",2,https://www.funda.nl/en/koop/amsterdam/appartement-40009218-kanaalstraat-127-ii/?navigateSource=resultlist
Albert Luthulistraat 3 B 1091 NP Amsterdam,44,,"€ 265,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40008306-albert-luthulistraat-3-b/?navigateSource=resultlist
Jacques Veltmanstraat 72 -1 1065 EN Amsterdam,47,,"€ 250,000 k.k.",2,https://www.funda.nl/en/koop/amsterdam/appartement-40008955-jacques-veltmanstraat-72-1/?navigateSource=resultlist
Nieuwezijds Voorburgwal 20 E 1012 RZ Amsterdam,96,,"€ 625,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40008768-nieuwezijds-voorburgwal-20-e/?navigateSource=resultlist
Leeuwendalersweg 5 A 1055 JE Amsterdam,101,,"€ 450,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40007613-leeuwendalersweg-5-a/?navigateSource=resultlist
Winkler Prinshof 9 3 1065 XL Amsterdam,58,,"€ 225,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40007445-winkler-prinshof-9-3/?navigateSource=resultlist
Ruimzicht 93 1068 CP Amsterdam,97,,"€ 325,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40006033-ruimzicht-93/?navigateSource=resultlist
Willem de Zwijgerlaan 40 I 1056 JS Amsterdam,56,,"€ 300,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40006976-willem-de-zwijgerlaan-40-i/?navigateSource=resultlist
Welnastraat 289 1096 GJ Amsterdam,28,,"€ 199,000 k.k.",1,https://www.funda.nl/en/koop/amsterdam/appartement-40006752-welnastraat-289/?navigateSource=resultlist
Haarlemmerweg 225 /A 1051 NV Amsterdam,80,,"€ 450,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40093137-haarlemmerweg-225-a/?navigateSource=resultlist
Plantage Middenlaan 76 III 1018 DJ Amsterdam,153,,"€ 959,000 k.k.",5,https://www.funda.nl/en/koop/amsterdam/appartement-40093163-plantage-middenlaan-76-iii/?navigateSource=resultlist
Hoofdweg 626 1055 AB Amsterdam,95,,"€ 500,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40092850-hoofdweg-626/?navigateSource=resultlist
Herculesstraat 30 C 1076 SM Amsterdam,86,,"€ 500,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40091216-herculesstraat-30-c/?navigateSource=resultlist
Johan Hofmanstraat 147 1069 KD Amsterdam,99,,"€ 350,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40090904-johan-hofmanstraat-147/?navigateSource=resultlist
Burgemeester Hogguerstraat 1137 1064 EJ Amsterdam,79,,"€ 310,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40090500-burgemeester-hogguerstraat-1137/?navigateSource=resultlist
Dintelstraat 72 hs 1078 VV Amsterdam,62,,"€ 450,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40099709-dintelstraat-72-hs/?navigateSource=resultlist
Amstel 128 -B 1017 AD Amsterdam,77,,"€ 749,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40099660-amstel-128-b/?navigateSource=resultlist
Prinsengracht 381 1016 HL Amsterdam,290,,"€ 2,000,000 k.k.",8,https://www.funda.nl/en/koop/amsterdam/appartement-86452693-prinsengracht-381/?navigateSource=resultlist
Antillenstraat 40 3+4 1058 HC Amsterdam,128,,"€ 725,000 k.k.",5,https://www.funda.nl/en/koop/amsterdam/appartement-40098040-antillenstraat-40-3-4/?navigateSource=resultlist
Baden Powellweg 86 1069 LK Amsterdam,84,,"€ 300,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40097463-baden-powellweg-86/?navigateSource=resultlist
Tussen Meer 224 1069 DW Amsterdam,72,,"€ 250,000 k.k.",3,https://www.funda.nl/en/koop/amsterdam/appartement-40096957-tussen-meer-224/?navigateSource=resultlist
Tuinstraat 244 1015 PK Amsterdam,40,,"€ 325,000 k.k.",2,https://www.funda.nl/en/koop/amsterdam/appartement-40095278-tuinstraat-244/?navigateSource=resultlist
Hoofdweg 388 -D 1056 DE Amsterdam,53,,"€ 325,000 k.k.",2,https://www.funda.nl/en/koop/amsterdam/appartement-40095931-hoofdweg-388-d/?navigateSource=resultlist
Jisperveldstraat 26 1024 AA Amsterdam,121,,"€ 370,011 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40095595-jisperveldstraat-26/?navigateSource=resultlist
Kinkerstraat 43 -I V 1053 DD Amsterdam,31,,"€ 225,000 k.k.",2,https://www.funda.nl/en/koop/amsterdam/appartement-40095483-kinkerstraat-43-i-v/?navigateSource=resultlist
Dijkgraafplein 249 1069 ER Amsterdam,100,,"€ 269,000 k.k.",4,https://www.funda.nl/en/koop/amsterdam/appartement-40084628-dijkgraafplein-249/?navigateSource=resultlist
