,address,living_area,price,rooms,url
87,Herculesstraat 30 C 1076 SM Amsterdam,86.0,500.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40091216-herculesstraat-30-c/?navigateSource=resultlist
88,Johan Hofmanstraat 147 1069 KD Amsterdam,99.0,350.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40090904-johan-hofmanstraat-147/?navigateSource=resultlist
89,Burgemeester Hogguerstraat 1137 1064 EJ Amsterdam,79.0,310.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40090500-burgemeester-hogguerstraat-1137/?navigateSource=resultlist
90,Dintelstraat 72 hs 1078 VV Amsterdam,62.0,450.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40099709-dintelstraat-72-hs/?navigateSource=resultlist
91,Amstel 128 -B 1017 AD Amsterdam,77.0,749.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40099660-amstel-128-b/?navigateSource=resultlist
92,Prinsengracht 381 1016 HL Amsterdam,290.0,2000.0,8.0,https://www.funda.nl/en/koop/amsterdam/appartement-86452693-prinsengracht-381/?navigateSource=resultlist
93,Antillenstraat 40 3+4 1058 HC Amsterdam,128.0,725.0,5.0,https://www.funda.nl/en/koop/amsterdam/appartement-40098040-antillenstraat-40-3-4/?navigateSource=resultlist
94,Baden Powellweg 86 1069 LK Amsterdam,84.0,300.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40097463-baden-powellweg-86/?navigateSource=resultlist
95,Tussen Meer 224 1069 DW Amsterdam,72.0,250.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40096957-tussen-meer-224/?navigateSource=resultlist
96,Tuinstraat 244 1015 PK Amsterdam,40.0,325.0,2.0,https://www.funda.nl/en/koop/amsterdam/appartement-40095278-tuinstraat-244/?navigateSource=resultlist
97,Hoofdweg 388 -D 1056 DE Amsterdam,53.0,325.0,2.0,https://www.funda.nl/en/koop/amsterdam/appartement-40095931-hoofdweg-388-d/?navigateSource=resultlist
98,Jisperveldstraat 26 1024 AA Amsterdam,121.0,370.011,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40095595-jisperveldstraat-26/?navigateSource=resultlist
99,Kinkerstraat 43 -I V 1053 DD Amsterdam,31.0,225.0,2.0,https://www.funda.nl/en/koop/amsterdam/appartement-40095483-kinkerstraat-43-i-v/?navigateSource=resultlist
100,Dijkgraafplein 249 1069 ER Amsterdam,100.0,269.0,4.0,https://www.funda.nl/en/koop/amsterdam/appartement-40084628-dijkgraafplein-249/?navigateSource=resultlist
101,Admiralengracht 75 -2 1057 ER Amsterdam,71.0,399.0,3.0,https://www.funda.nl/en/koop/amsterdam/appartement-40081383-admiralengracht-75-2/?navigateSource=resultlist
